Spol,Broj Osoba,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
u,"4,284,889","212,709","204,317","235,402","244,177","261,658","289,066","294,619","284,754","286,933","307,561","320,502","311,818","272,740","202,002","212,401","175,526","108,104","47,641","10,758","2,201"
m,"2,066,335","109,251","104,841","120,633","124,918","133,455","147,416","149,998","143,984","143,603","152,446","157,981","153,750","127,851","89,364","88,912","66,456","35,999","12,415","2,580",482
ž,"2,218,554","103,458","99,476","114,769","119,259","128,203","141,650","144,621","140,770","143,330","155,115","162,521","158,068","144,889","112,638","123,489","109,070","72,105","35,226","8,178","1,719"
